id,"name","description","vNames","videoIDs","thumbnail","artists"
1,"Sexy","Goooood lookin Girls!!","Sleepless,Sonnentanz (Sun Don't Shine Remix),Warm Thoughts,Say My Name (Cyril Hahn Remix),Do You,Hey Now (Club Mix),Gold (Snakehips Remix)","hZSrzL-kb38,79YDgv_zWA4,bQz3A8qy0VE,NGBeLPJTLzE,s-BW2gKnVz8,qMg7TbHMs6Y,isQlpw57L1M","bQz3A8qy0VE","Flume,Klangkarussell,Flume,Destiny's Child / Cyril Hahn,Miguel,Martin Solveig / The Cataracs,Bondax / Snakehips"
2,"Chill","Smoke to these!","About You,Snow in Newark","lG5aSZBAuPs,Y7y0iEQ_4iE","lG5aSZBAuPs","XXYYXX,Ryan Hemsworth"
3,"Trippy Animations","shroomin","The Music Scene,Tiny Anthem,Feels Like We Only Go Backwards,Zodiac Shit,With You,Space Cadet","NhheiPTdZCw,RZNvjaJZVMg,wycjnCCgUes,0ScYz9sNaQk,b7xRNspm1Sg,sRnMPHYqgh8","wycjnCCgUes","Blockhead,M Machine,Tame Impala,Flying Lotus,Flight Facilities, Flume and Ghostface Killah"
4,"EDMusic","","Greyhound,Infinity,One in a Million,Rad Anthem,Reason (Hook & Sling Remix),Animals,Summer,Summertime Sadness (Cedric Gervais Remix),Clarity,Seek Bromance,Sunlight,White Noise,Happy Violence,Mozart,I Remember,No Beef,Teenage Crimes,Shot at Night (Cazzette Remix)","PDboaDrHGbA,jzy2dgEUOhY,93HWMspjxqI,Jl0G3uH71B8,NQq7tmwvjr8,gCYcHz2k5x0,ebXbLfLACGM,akhmS1D2Ce4,IxxstCcJlsc,Jrd25gjyDhE,TFXlWfzW9Uo,bkk2H3Ztrfk,KJRaKhURMEA,AwLzZoB6y8A,LGbRpdCRwt0,ksocjhxX_DQ,86vDxRr2ELA,Wv2AQahZwMc","AwLzZoB6y8A","Swedish House Mafia,Guru Josh Project,Rad Omen,Nervo,Martin Garrix,Calvin Harris,Lana Del Rey,Zedd,Avicii,The Magician,Disclosure,Dada Life,Mat Zo & Arty,Deadmau5,AfroJack and Steve Aoki,Adrian Lux,The Killers"
5,"Chillwave / Glo-fi","feel good about feeling good","Cool,All My Life,Gun,My Friends Never Die,Lofticries,Oblivion,Often,Hold On,Tobago,Tell Me,Cold Nights,Love Strong,Thinking About You,Help Me Lose My Mind,Foreign Language,Nightcall,Something Good,In Mind,Gold,You and Me (Flume Remix),Pain Goes Away,So Good To Me,I Follow Rivers (The Magician Remix),Cover Bombs (Odesza Remix),Fineshrine,You're the One For Me,Doses and Mimosas,Phone Sex,Embrace,Stay","MGBj3LD-nko,Ra9lFNglvIQ,ktoaj1IpTbw,NyPtlOoCmV4,PmRraoL9v7k,JtH68PJIQLE,JPIhUaONiLU,_x6DmYxnBaI,llYWjltBUPU,3Hv1DElPXV0,hZf_xexzN74,KuPTc_aWh2k,tM6haybgBrc,lk5myym7lkw,JI6fDb6IBmU,A6lPmv5g2sA,aNYjOVo5IEw,flNm0uy98eI,hi4pzKvuEQM,_zPlr-o-YEQ,3oaCNMzLVx4,KrMl32cuC2A,nskaoVf8PPM,GQpz7mT1aYw,Xqw4wo8vdY8,SyTchswHxhY,XlZtvEM5mf4,_GiEoLXC9nk,l35GTSbKMpY,1Rv6KCBI3vg","Ra9lFNglvIQ","Le Youth,Gigamesh,CHVRCHES,Odesza,Purity Ring,Grimes,Weeknd,SBTRKT,Jonas Rathsman,Giraffage,Chordashian,Moon Boots,Frank Ocean,Disclosure,Flight Facilities,Kavinsky,Alt-J,Brothertiger,Chet Faker,Disclosure,Ref,Chris Malinchak,Lykke Li,Nomadic Firs,Purity Ring,Great Good Fine OK,Cherub,Blood Diamonds and Grimes,Goldroom,Henry Krinkle"
6,"Other","Fun for the Whole Family","Stereo Love (Molella Remix),Calabria,This Must Be The Place,Shot At The Night","Or-GhD9nZkg,WL1hlzLsUaU,G29d6RDSK1c,X4YK-DEkvcw","G29d6RDSK1c","Edward Maya,Enur,Miles Fisher,The Killers"
7,"Mellow",NULL,"Old Pine,Above the Clouds of Pompeii,The Knife,Home,Simple Song,Ambling Alp,New Year's Eve,I Heart NY,Desert Song,Kisses Over Babylon,Better Days,Let's Get High,40 Day Dream,Breezeblocks,Every Other Freckle","x8ccDb6n5Wg,pGXBR1wR-mo,OJpC9JqSnJk,4306i99LMXo,RoLTPcD1S4Q,JyBl5ZgnEr4,ALFu4D5NGbg,-aarbRTOWOI,buQpcpQqdKo,7gwXpLpfb3Y,0GSLAZg3n8I,sxkZFj60piw,V8sa6qiHx7A,rVeMiVU77wo,-mhgfXgwdls","JyBl5ZgnEr4","Ben Harper,Bear's Den,Grizzly Bear,Edward Sharpe,Yeasayer,MÃ˜,Samuel,Edward Sharpe,Edward Sharpe,Edward Sharpe,Edward Sharpe,Edward Sharpe,Edward Sharpe,Alt-J,Alt-J"
8,"Throwbacks",NULL,"Island in the Sun,Californication,The World Should Revolve Around Me,Shooting Stars","erG5rgNYSdk,YlUKcNNmywk,129pN3dobGM,feA64wXhbjo","erG5rgNYSdk","Weezer,Red Hot Chili Peppers,Little Jackie,Bag Raiders"
9,"AllTheRap","","Life Round Here,25 Bucks,Barcode,CoCo,Throw Some Ds, All Gold Everything","5S6U_krabrk,d0s0XHVUGF0,nIk0ztHU3yU,6vYnas6q3Sg,pudIZbCRq_c,NK2FqPNIT_U","NK2FqPNIT_U","James Blake and Chance the Rapper,Danny Brown and Purity Ring,Blood Diamond,O.T. Genesis,Rich Boy,Trinidad James"
10,"Mainstreamers",NULL,"We Can't Stop","LrUvu1mlWco","LrUvu1mlWco","Miley Cyrus"
