name,description,vnames,videoids,thumbnail,artists,userid,the_order,id,public,entries
Sexy,Goooood lookin Girls!!,"Sleepless,Sonnentanz (Sun Don't Shine Remix),Warm Thoughts,Say My Name (Cyril Hahn Remix),Do You,Hey Now (Club Mix),Gold (Snakehips Remix)","hZSrzL-kb38,79YDgv_zWA4,bQz3A8qy0VE,NGBeLPJTLzE,s-BW2gKnVz8,qMg7TbHMs6Y,isQlpw57L1M",bQz3A8qy0VE,"Flume,Klangkarussell,Flume,Destiny's Child / Cyril Hahn,Miguel,Martin Solveig / The Cataracs,Bondax / Snakehips",,,1,0,0
Chillwave / Glo-fi,feel good about feeling good,"Cool,All My Life,Gun,My Friends Never Die,Lofticries,Oblivion,Often,Hold On,Tobago,Tell Me,Cold Nights,Love Strong,Thinking About You,Help Me Lose My Mind,Foreign Language,Nightcall,Something Good,In Mind,Gold,You and Me (Flume Remix),Pain Goes Away,So Good To Me,I Follow Rivers (The Magician Remix),Cover Bombs (Odesza Remix),Fineshrine,You're the One For Me,Doses and Mimosas,Phone Sex,Embrace,Stay","MGBj3LD-nko,Ra9lFNglvIQ,ktoaj1IpTbw,NyPtlOoCmV4,PmRraoL9v7k,JtH68PJIQLE,JPIhUaONiLU,_x6DmYxnBaI,llYWjltBUPU,3Hv1DElPXV0,hZf_xexzN74,KuPTc_aWh2k,tM6haybgBrc,lk5myym7lkw,JI6fDb6IBmU,A6lPmv5g2sA,aNYjOVo5IEw,flNm0uy98eI,hi4pzKvuEQM,_zPlr-o-YEQ,3oaCNMzLVx4,KrMl32cuC2A,nskaoVf8PPM,GQpz7mT1aYw,Xqw4wo8vdY8,SyTchswHxhY,XlZtvEM5mf4,_GiEoLXC9nk,l35GTSbKMpY,1Rv6KCBI3vg",Ra9lFNglvIQ,"Le Youth,Gigamesh,CHVRCHES,Odesza,Purity Ring,Grimes,Weeknd,SBTRKT,Jonas Rathsman,Giraffage,Chordashian,Moon Boots,Frank Ocean,Disclosure,Flight Facilities,Kavinsky,Alt-J,Brothertiger,Chet Faker,Disclosure,Ref,Chris Malinchak,Lykke Li,Nomadic Firs,Purity Ring,Great Good Fine OK,Cherub,Blood Diamonds and Grimes,Goldroom,Henry Krinkle",,,2,0,0
Other,Fun for the Whole Family,"Stereo Love (Molella Remix),Calabria,This Must Be The Place,Shot At The Night","Or-GhD9nZkg,WL1hlzLsUaU,G29d6RDSK1c,X4YK-DEkvcw",G29d6RDSK1c,"Edward Maya,Enur,Miles Fisher,The Killers",,,3,0,0
Throwbacks,,"Island in the Sun,Californication,The World Should Revolve Around Me,Shooting Stars","erG5rgNYSdk,YlUKcNNmywk,129pN3dobGM,feA64wXhbjo",erG5rgNYSdk,"Weezer,Red Hot Chili Peppers,Little Jackie,Bag Raiders",,,4,0,0
Mellow,,"Old Pine,Above the Clouds of Pompeii,The Knife,Home,Simple Song,Ambling Alp,New Year's Eve,I Heart NY,Desert Song,Kisses Over Babylon,Better Days,Let's Get High,40 Day Dream,Breezeblocks,Every Other Freckle,Iron","x8ccDb6n5Wg,pGXBR1wR-mo,OJpC9JqSnJk,4306i99LMXo,RoLTPcD1S4Q,JyBl5ZgnEr4,ALFu4D5NGbg,-aarbRTOWOI,buQpcpQqdKo,7gwXpLpfb3Y,0GSLAZg3n8I,sxkZFj60piw,V8sa6qiHx7A,rVeMiVU77wo,-mhgfXgwdls,vSkb0kDacjs",x8ccDb6n5Wg,"Ben Harper,Bear's Den,Grizzly Bear,Edward Sharpe,Yeasayer,MO,Samuel,Edward Sharpe,Edward Sharpe,Edward Sharpe,Edward Sharpe,Edward Sharpe,Edward Sharpe,Alt-J,Alt-J,Woodkid",,,5,0,0
Chill,Smoke to these!,"About You,Snow in Newark","lG5aSZBAuPs,Y7y0iEQ_4iE",lG5aSZBAuPs,"XXYYXX,Ryan Hemsworth",,,6,0,0
Trippy Animations,shroomin,"The Music Scene,Tiny Anthem,Feels Like We Only Go Backwards,Zodiac Shit,With You,Space Cadet,Space Cadet ","NhheiPTdZCw,RZNvjaJZVMg,wycjnCCgUes,0ScYz9sNaQk,b7xRNspm1Sg,sRnMPHYqgh8,sRnMPHYqgh8",NhheiPTdZCw,"Blockhead,M Machine,Tame Impala,Flying Lotus,Flight Facilities, Flume and Ghostface Killah,Flume feat. Ghostface Killah ",,,7,0,0
AllTheRap,"","Life Round Here,25 Bucks,Barcode,CoCo,Throw Some Ds, All Gold Everything","5S6U_krabrk,d0s0XHVUGF0,nIk0ztHU3yU,6vYnas6q3Sg,pudIZbCRq_c,NK2FqPNIT_U",5S6U_krabrk,"James Blake and Chance the Rapper,Danny Brown and Purity Ring,Blood Diamond,O.T. Genesis,Rich Boy,Trinidad James",,,8,0,0
EDMusic,"","Greyhound,Infinity,One in a Million,Rad Anthem,Reason (Hook & Sling Remix),Animals,Summer,Summertime Sadness (Cedric Gervais Remix),Clarity,Seek Bromance,Sunlight,White Noise,Happy Violence,Mozart,I Remember,No Beef,Teenage Crimes,Shot at Night (Cazzette Remix),Every Other Freckle","PDboaDrHGbA,jzy2dgEUOhY,93HWMspjxqI,Jl0G3uH71B8,NQq7tmwvjr8,gCYcHz2k5x0,ebXbLfLACGM,akhmS1D2Ce4,IxxstCcJlsc,Jrd25gjyDhE,TFXlWfzW9Uo,bkk2H3Ztrfk,KJRaKhURMEA,AwLzZoB6y8A,LGbRpdCRwt0,ksocjhxX_DQ,86vDxRr2ELA,Wv2AQahZwMc,-mhgfXgwdls",PDboaDrHGbA,"Swedish House Mafia,Guru Josh Project,Rad Omen,Nervo,Martin Garrix,Calvin Harris,Lana Del Rey,Zedd,Avicii,The Magician,Disclosure,Dada Life,Mat Zo & Arty,Deadmau5,AfroJack and Steve Aoki,Adrian Lux,The Killers,undefined,Alt-J",,,9,0,0
test,,,,ZTidn2dBYbY,,6,"undefinedZTidn2dBYbY,",10,0,0
Adam's November Jams,,,,5jUGAVUwhRU,,7,"5jUGAVUwhRU,HdfgiIBzsBM,MfttyNSCI-g,NHfWY0is3rE,_L2vJEb6lVE,i_kF4zLNKio,T0RvPYRRRbE,dwUug-ucBLc,MmZexg8sxyk,LlU4FuIJT2k,nfWlot6h_JM,0FcDXL5Aw0o,CxnaPa8ohmM,jx96Twg-Aew,d5K3UgrPdbQ,",26,0,0
Likes,,,,,,16,,29,0,0
Avi's Playlist,,,,,,10,"",27,0,0
Fye5,,,,,,,"",28,0,0
PLAYLIST 1,,,,0IZgpyeJ7U4,,1,"156,",24,0,0
The Good Rap,,,,UI9WCl4Cd8E,,2,"",31,1,0
Likes,,,,,,24,,44,0,0
DRAKE,,,,cimoNqiulUE,,3,"",40,1,0
Likes,,,,,,21,,32,0,0
Galactic Jams,,,,KZnou4zthz4,,2,"",30,1,0
S m o k e,,,,nOHEuhJf7nA,,2,"278,149,555,28,279,450,,20,619",22,1,0
Electronic,,,,I41CX0RdmPQ,,3,"",37,1,0
test,,,,o_qFaFl7JVc,,26,"",45,0,0
Throwback Hip Hop Videos ,,,,ryDOy3AosBw,,3,"",33,1,0
What?,,,,BoEKWtgJQAU,,2,"",35,0,0
Animated Videos,,,,pcMu2A7vtMY,,3,"",34,1,0
Certified Fresh 2016,,,,WfMlFxrMb18,,3,"",38,1,0
Kendrick Lamar,,,,Z-48u_uWMHY,,3,"",41,1,0
Likes,,,,,,22,,42,0,0
Kanye,,,,uQ_DHRI-Xp0,,3,"",39,1,0
Likes,,,,,,23,,43,0,0
